{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'huber', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-04-22-50-33	Epoch 1	Train Loss = 0.15213, Val Loss = 0.04905
2026-01-04-22-52-38	Epoch 2	Train Loss = 0.02823, Val Loss = 0.04439
2026-01-04-22-54-43	Epoch 3	Train Loss = 0.02465, Val Loss = 0.04222
2026-01-04-22-56-48	Epoch 4	Train Loss = 0.02289, Val Loss = 0.04435
2026-01-04-22-58-53	Epoch 5	Train Loss = 0.02133, Val Loss = 0.03899
2026-01-04-23-00-58	Epoch 6	Train Loss = 0.02180, Val Loss = 0.04091
2026-01-04-23-03-04	Epoch 7	Train Loss = 0.02047, Val Loss = 0.03690
2026-01-04-23-05-09	Epoch 8	Train Loss = 0.01963, Val Loss = 0.03743
2026-01-04-23-07-14	Epoch 9	Train Loss = 0.01935, Val Loss = 0.03659
2026-01-04-23-09-19	Epoch 10	Train Loss = 0.01880, Val Loss = 0.03528
2026-01-04-23-11-24	Epoch 11	Train Loss = 0.01845, Val Loss = 0.03556
2026-01-04-23-13-29	Epoch 12	Train Loss = 0.01813, Val Loss = 0.03335
2026-01-04-23-15-34	Epoch 13	Train Loss = 0.01753, Val Loss = 0.03438
2026-01-04-23-17-40	Epoch 14	Train Loss = 0.01735, Val Loss = 0.03376
2026-01-04-23-19-45	Epoch 15	Train Loss = 0.01708, Val Loss = 0.03311
2026-01-04-23-21-50	Epoch 16	Train Loss = 0.01677, Val Loss = 0.03478
2026-01-04-23-23-55	Epoch 17	Train Loss = 0.01656, Val Loss = 0.03339
2026-01-04-23-26-00	Epoch 18	Train Loss = 0.01643, Val Loss = 0.03287
2026-01-04-23-28-05	Epoch 19	Train Loss = 0.01611, Val Loss = 0.03462
2026-01-04-23-30-10	Epoch 20	Train Loss = 0.01591, Val Loss = 0.03302
2026-01-04-23-32-15	Epoch 21	Train Loss = 0.01602, Val Loss = 0.03484
2026-01-04-23-34-20	Epoch 22	Train Loss = 0.01560, Val Loss = 0.03295
2026-01-04-23-36-25	Epoch 23	Train Loss = 0.01535, Val Loss = 0.03368
2026-01-04-23-38-30	Epoch 24	Train Loss = 0.01527, Val Loss = 0.03293
2026-01-04-23-40-35	Epoch 25	Train Loss = 0.01494, Val Loss = 0.03298
2026-01-04-23-42-40	Epoch 26	Train Loss = 0.01506, Val Loss = 0.03298
2026-01-04-23-44-46	Epoch 27	Train Loss = 0.01494, Val Loss = 0.03246
2026-01-04-23-46-51	Epoch 28	Train Loss = 0.01468, Val Loss = 0.03320
2026-01-04-23-48-56	Epoch 29	Train Loss = 0.01451, Val Loss = 0.03228
2026-01-04-23-51-01	Epoch 30	Train Loss = 0.01436, Val Loss = 0.03245
2026-01-04-23-53-06	Epoch 31	Train Loss = 0.01419, Val Loss = 0.03238
2026-01-04-23-55-11	Epoch 32	Train Loss = 0.01426, Val Loss = 0.03349
2026-01-04-23-57-16	Epoch 33	Train Loss = 0.01411, Val Loss = 0.03258
2026-01-04-23-59-21	Epoch 34	Train Loss = 0.01402, Val Loss = 0.03212
2026-01-05-00-01-27	Epoch 35	Train Loss = 0.01383, Val Loss = 0.03208
2026-01-05-00-03-32	Epoch 36	Train Loss = 0.01368, Val Loss = 0.03228
2026-01-05-00-05-37	Epoch 37	Train Loss = 0.01361, Val Loss = 0.03185
2026-01-05-00-07-42	Epoch 38	Train Loss = 0.01363, Val Loss = 0.03255
2026-01-05-00-09-47	Epoch 39	Train Loss = 0.01346, Val Loss = 0.03336
2026-01-05-00-11-53	Epoch 40	Train Loss = 0.01342, Val Loss = 0.03196
2026-01-05-00-13-58	Epoch 41	Train Loss = 0.01313, Val Loss = 0.03193
2026-01-05-00-16-02	Epoch 42	Train Loss = 0.01324, Val Loss = 0.03185
2026-01-05-00-18-07	Epoch 43	Train Loss = 0.01314, Val Loss = 0.03254
2026-01-05-00-20-12	Epoch 44	Train Loss = 0.01293, Val Loss = 0.03192
2026-01-05-00-22-17	Epoch 45	Train Loss = 0.01293, Val Loss = 0.03156
2026-01-05-00-24-22	Epoch 46	Train Loss = 0.01290, Val Loss = 0.03175
