{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 1, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'mse', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0002, 'dropout': 0.1, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-30-20-39-13	Epoch 1	Train Loss = 36513.07883, Val Loss = 17329.73696
2025-12-30-20-39-58	Epoch 2	Train Loss = 16187.50168, Val Loss = 17852.85975
2025-12-30-20-40-43	Epoch 3	Train Loss = 10240.93695, Val Loss = 6653.78778
2025-12-30-20-41-28	Epoch 4	Train Loss = 5548.31430, Val Loss = 4992.80102
2025-12-30-20-42-13	Epoch 5	Train Loss = 3663.42094, Val Loss = 4345.91489
2025-12-30-20-42-58	Epoch 6	Train Loss = 2845.83789, Val Loss = 4250.75766
2025-12-30-20-43-43	Epoch 7	Train Loss = 2533.57058, Val Loss = 3344.74839
2025-12-30-20-44-28	Epoch 8	Train Loss = 2312.29163, Val Loss = 3528.94269
2025-12-30-20-45-14	Epoch 9	Train Loss = 2050.10542, Val Loss = 2699.75375
2025-12-30-20-45-59	Epoch 10	Train Loss = 1845.42443, Val Loss = 2944.49293
2025-12-30-20-46-44	Epoch 11	Train Loss = 3190.97252, Val Loss = 2590.77376
2025-12-30-20-47-29	Epoch 12	Train Loss = 2196.94397, Val Loss = 3364.78434
2025-12-30-20-48-14	Epoch 13	Train Loss = 1701.89941, Val Loss = 2597.38968
2025-12-30-20-48-59	Epoch 14	Train Loss = 1466.06165, Val Loss = 2488.24862
2025-12-30-20-49-44	Epoch 15	Train Loss = 1421.17453, Val Loss = 2703.04935
2025-12-30-20-50-29	Epoch 16	Train Loss = 1398.87657, Val Loss = 2383.23535
2025-12-30-20-51-14	Epoch 17	Train Loss = 1679.66763, Val Loss = 3724.81889
2025-12-30-20-52-00	Epoch 18	Train Loss = 1501.26075, Val Loss = 2419.67745
2025-12-30-20-52-45	Epoch 19	Train Loss = 1340.37012, Val Loss = 2355.89766
2025-12-30-20-53-30	Epoch 20	Train Loss = 1279.33309, Val Loss = 2421.75239
2025-12-30-20-54-15	Epoch 21	Train Loss = 1243.52072, Val Loss = 2326.92861
2025-12-30-20-55-00	Epoch 22	Train Loss = 1433.44181, Val Loss = 2354.88991
2025-12-30-20-55-45	Epoch 23	Train Loss = 1378.46137, Val Loss = 2439.74570
2025-12-30-20-56-30	Epoch 24	Train Loss = 1271.36258, Val Loss = 2687.81652
2025-12-30-20-57-15	Epoch 25	Train Loss = 1536.73374, Val Loss = 2408.79982
2025-12-30-20-58-00	Epoch 26	Train Loss = 1412.59321, Val Loss = 2362.81858
2025-12-30-20-58-45	Epoch 27	Train Loss = 1357.17510, Val Loss = 2416.79488
2025-12-30-20-59-30	Epoch 28	Train Loss = 1314.91197, Val Loss = 2294.35010
2025-12-30-21-00-16	Epoch 29	Train Loss = 1280.03707, Val Loss = 2464.11910
2025-12-30-21-01-01	Epoch 30	Train Loss = 1084.52095, Val Loss = 2142.07485
2025-12-30-21-01-46	Epoch 31	Train Loss = 1243.78980, Val Loss = 2218.99480
2025-12-30-21-02-31	Epoch 32	Train Loss = 1248.16672, Val Loss = 2397.54450
2025-12-30-21-03-16	Epoch 33	Train Loss = 1199.06318, Val Loss = 2125.27168
2025-12-30-21-04-01	Epoch 34	Train Loss = 1037.34985, Val Loss = 2216.11329
