{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 1, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'mse', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0002, 'dropout': 0.1, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-29-16-11-48	Epoch 1	Train Loss = 32585.66453, Val Loss = 14111.90029
2025-12-29-16-12-34	Epoch 2	Train Loss = 12383.59249, Val Loss = 13277.86220
2025-12-29-16-13-20	Epoch 3	Train Loss = 7503.44589, Val Loss = 5541.01802
2025-12-29-16-14-05	Epoch 4	Train Loss = 4838.49647, Val Loss = 9332.08938
2025-12-29-16-14-51	Epoch 5	Train Loss = 4221.45115, Val Loss = 3113.74786
2025-12-29-16-15-36	Epoch 6	Train Loss = 2807.06223, Val Loss = 3078.27129
2025-12-29-16-16-22	Epoch 7	Train Loss = 2380.44523, Val Loss = 3608.54276
2025-12-29-16-17-07	Epoch 8	Train Loss = 2142.38441, Val Loss = 3051.40236
2025-12-29-16-17-53	Epoch 9	Train Loss = 1921.56675, Val Loss = 2607.99107
2025-12-29-16-18-40	Epoch 10	Train Loss = 1739.93984, Val Loss = 2685.57593
2025-12-29-16-19-25	Epoch 11	Train Loss = 1620.65203, Val Loss = 2471.85723
2025-12-29-16-20-11	Epoch 12	Train Loss = 1538.23032, Val Loss = 2372.91068
2025-12-29-16-20-57	Epoch 13	Train Loss = 1478.57737, Val Loss = 2692.68999
2025-12-29-16-21-42	Epoch 14	Train Loss = 1610.30963, Val Loss = 2381.39328
2025-12-29-16-22-28	Epoch 15	Train Loss = 1334.47207, Val Loss = 6113.67345
2025-12-29-16-23-13	Epoch 16	Train Loss = 1717.04169, Val Loss = 2482.95966
2025-12-29-16-23-59	Epoch 17	Train Loss = 1306.04446, Val Loss = 2366.14865
2025-12-29-16-24-45	Epoch 18	Train Loss = 1272.62725, Val Loss = 2303.33717
2025-12-29-16-25-30	Epoch 19	Train Loss = 1348.78737, Val Loss = 2883.32036
2025-12-29-16-26-16	Epoch 20	Train Loss = 1710.48536, Val Loss = 2643.76245
2025-12-29-16-27-02	Epoch 21	Train Loss = 1216.38840, Val Loss = 2528.75814
2025-12-29-16-27-47	Epoch 22	Train Loss = 1335.15312, Val Loss = 2991.05107
2025-12-29-16-28-33	Epoch 23	Train Loss = 1315.26182, Val Loss = 2212.87494
2025-12-29-16-29-18	Epoch 24	Train Loss = 1150.43148, Val Loss = 2351.49698
