{'gpu': {'device_ids': [2], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': True, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-11-23-56-24	Epoch 1	Train Loss = 0.24080, Val Loss = 0.17058
2026-01-11-23-58-31	Epoch 2	Train Loss = 0.12992, Val Loss = 0.14769
2026-01-12-00-00-37	Epoch 3	Train Loss = 0.12761, Val Loss = 0.14645
2026-01-12-00-02-44	Epoch 4	Train Loss = 0.12719, Val Loss = 0.14951
2026-01-12-00-04-51	Epoch 5	Train Loss = 0.12566, Val Loss = 0.14434
2026-01-12-00-06-57	Epoch 6	Train Loss = 0.12422, Val Loss = 0.14319
2026-01-12-00-09-04	Epoch 7	Train Loss = 0.12264, Val Loss = 0.14019
2026-01-12-00-11-11	Epoch 8	Train Loss = 0.11878, Val Loss = 0.13654
2026-01-12-00-13-18	Epoch 9	Train Loss = 0.11615, Val Loss = 0.13511
2026-01-12-00-15-25	Epoch 10	Train Loss = 0.11365, Val Loss = 0.13200
2026-01-12-00-17-31	Epoch 11	Train Loss = 0.10883, Val Loss = 0.12783
2026-01-12-00-19-38	Epoch 12	Train Loss = 0.10669, Val Loss = 0.12827
2026-01-12-00-21-45	Epoch 13	Train Loss = 0.10542, Val Loss = 0.12626
2026-01-12-00-23-51	Epoch 14	Train Loss = 0.10390, Val Loss = 0.12426
2026-01-12-00-25-58	Epoch 15	Train Loss = 0.10397, Val Loss = 0.12372
2026-01-12-00-28-05	Epoch 16	Train Loss = 0.10286, Val Loss = 0.12367
2026-01-12-00-30-12	Epoch 17	Train Loss = 0.10182, Val Loss = 0.12284
2026-01-12-00-32-18	Epoch 18	Train Loss = 0.10162, Val Loss = 0.12212
2026-01-12-00-34-25	Epoch 19	Train Loss = 0.10138, Val Loss = 0.12182
2026-01-12-00-36-32	Epoch 20	Train Loss = 0.10068, Val Loss = 0.12288
2026-01-12-00-38-39	Epoch 21	Train Loss = 0.10004, Val Loss = 0.12160
2026-01-12-00-40-45	Epoch 22	Train Loss = 0.10012, Val Loss = 0.12261
2026-01-12-00-42-52	Epoch 23	Train Loss = 0.10044, Val Loss = 0.12215
2026-01-12-00-44-59	Epoch 24	Train Loss = 0.09901, Val Loss = 0.11959
2026-01-12-00-47-05	Epoch 25	Train Loss = 0.09893, Val Loss = 0.12148
2026-01-12-00-49-12	Epoch 26	Train Loss = 0.09895, Val Loss = 0.12045
2026-01-12-00-51-19	Epoch 27	Train Loss = 0.09814, Val Loss = 0.11888
2026-01-12-00-53-25	Epoch 28	Train Loss = 0.09757, Val Loss = 0.11892
2026-01-12-00-55-32	Epoch 29	Train Loss = 0.09732, Val Loss = 0.11994
2026-01-12-00-57-39	Epoch 30	Train Loss = 0.09663, Val Loss = 0.11824
2026-01-12-00-59-45	Epoch 31	Train Loss = 0.09626, Val Loss = 0.11729
2026-01-12-01-01-52	Epoch 32	Train Loss = 0.09580, Val Loss = 0.11752
2026-01-12-01-03-59	Epoch 33	Train Loss = 0.09575, Val Loss = 0.11874
2026-01-12-01-06-05	Epoch 34	Train Loss = 0.09541, Val Loss = 0.11703
2026-01-12-01-08-12	Epoch 35	Train Loss = 0.09528, Val Loss = 0.11635
2026-01-12-01-10-19	Epoch 36	Train Loss = 0.09455, Val Loss = 0.11731
2026-01-12-01-12-25	Epoch 37	Train Loss = 0.09426, Val Loss = 0.11714
2026-01-12-01-14-32	Epoch 38	Train Loss = 0.09400, Val Loss = 0.11568
2026-01-12-01-16-39	Epoch 39	Train Loss = 0.09389, Val Loss = 0.11643
2026-01-12-01-18-45	Epoch 40	Train Loss = 0.09509, Val Loss = 0.11659
2026-01-12-01-20-52	Epoch 41	Train Loss = 0.16146, Val Loss = 0.14086
2026-01-12-01-22-59	Epoch 42	Train Loss = 0.11384, Val Loss = 0.13217
2026-01-12-01-25-05	Epoch 43	Train Loss = 0.10822, Val Loss = 0.12718
2026-01-12-01-27-12	Epoch 44	Train Loss = 0.10354, Val Loss = 0.12528
2026-01-12-01-29-18	Epoch 45	Train Loss = 0.10198, Val Loss = 0.12692
2026-01-12-01-31-25	Epoch 46	Train Loss = 0.10058, Val Loss = 0.12257
2026-01-12-01-33-32	Epoch 47	Train Loss = 0.09954, Val Loss = 0.12191
2026-01-12-01-35-38	Epoch 48	Train Loss = 0.09946, Val Loss = 0.12155
2026-01-12-01-37-45	Epoch 49	Train Loss = 0.09839, Val Loss = 0.12127
2026-01-12-01-39-51	Epoch 50	Train Loss = 0.09796, Val Loss = 0.12102
2026-01-12-01-41-58	Epoch 51	Train Loss = 0.09763, Val Loss = 0.11945
2026-01-12-01-44-05	Epoch 52	Train Loss = 0.09688, Val Loss = 0.12067
2026-01-12-01-46-11	Epoch 53	Train Loss = 0.09639, Val Loss = 0.12229
2026-01-12-01-48-18	Epoch 54	Train Loss = 0.09638, Val Loss = 0.11962
2026-01-12-01-50-24	Epoch 55	Train Loss = 0.09545, Val Loss = 0.11983
2026-01-12-01-52-31	Epoch 56	Train Loss = 0.09542, Val Loss = 0.12044
2026-01-12-01-54-38	Epoch 57	Train Loss = 0.09495, Val Loss = 0.11989
2026-01-12-01-56-44	Epoch 58	Train Loss = 0.09444, Val Loss = 0.11857
2026-01-12-01-58-51	Epoch 59	Train Loss = 0.09445, Val Loss = 0.11809
2026-01-12-02-00-58	Epoch 60	Train Loss = 0.09421, Val Loss = 0.11793
2026-01-12-02-03-04	Epoch 61	Train Loss = 0.09347, Val Loss = 0.11925
2026-01-12-02-05-11	Epoch 62	Train Loss = 0.09322, Val Loss = 0.11749
2026-01-12-02-07-17	Epoch 63	Train Loss = 0.09283, Val Loss = 0.11671
2026-01-12-02-09-24	Epoch 64	Train Loss = 0.09274, Val Loss = 0.11701
2026-01-12-02-11-30	Epoch 65	Train Loss = 0.09278, Val Loss = 0.11795
2026-01-12-02-13-37	Epoch 66	Train Loss = 0.09244, Val Loss = 0.11905
2026-01-12-02-15-44	Epoch 67	Train Loss = 0.09180, Val Loss = 0.11732
2026-01-12-02-17-50	Epoch 68	Train Loss = 0.09120, Val Loss = 0.11869
2026-01-12-02-19-57	Epoch 69	Train Loss = 0.09158, Val Loss = 0.11828
2026-01-12-02-22-03	Epoch 70	Train Loss = 0.09089, Val Loss = 0.11716
2026-01-12-02-24-10	Epoch 71	Train Loss = 0.11415, Val Loss = 0.13252
2026-01-12-02-26-17	Epoch 72	Train Loss = 0.10209, Val Loss = 0.12612
2026-01-12-02-28-24	Epoch 73	Train Loss = 0.09996, Val Loss = 0.12471
2026-01-12-02-30-30	Epoch 74	Train Loss = 0.09894, Val Loss = 0.12734
2026-01-12-02-32-37	Epoch 75	Train Loss = 0.09815, Val Loss = 0.12574
2026-01-12-02-34-44	Epoch 76	Train Loss = 0.09771, Val Loss = 0.12613
2026-01-12-02-36-50	Epoch 77	Train Loss = 0.09807, Val Loss = 0.12646
2026-01-12-02-38-57	Epoch 78	Train Loss = 0.09648, Val Loss = 0.12359
2026-01-12-02-41-04	Epoch 79	Train Loss = 0.09627, Val Loss = 0.12411
2026-01-12-02-43-11	Epoch 80	Train Loss = 0.09563, Val Loss = 0.12321
2026-01-12-02-45-17	Epoch 81	Train Loss = 0.09602, Val Loss = 0.12450
2026-01-12-02-47-24	Epoch 82	Train Loss = 0.09471, Val Loss = 0.12398
2026-01-12-02-49-31	Epoch 83	Train Loss = 0.09525, Val Loss = 0.12424
2026-01-12-02-51-37	Epoch 84	Train Loss = 0.09489, Val Loss = 0.12326
2026-01-12-02-53-44	Epoch 85	Train Loss = 0.09448, Val Loss = 0.12260
2026-01-12-02-55-51	Epoch 86	Train Loss = 0.09411, Val Loss = 0.12364
2026-01-12-02-57-57	Epoch 87	Train Loss = 0.09407, Val Loss = 0.12192
2026-01-12-03-00-04	Epoch 88	Train Loss = 0.09401, Val Loss = 0.12319
2026-01-12-03-02-11	Epoch 89	Train Loss = 0.09396, Val Loss = 0.12298
2026-01-12-03-04-18	Epoch 90	Train Loss = 0.09362, Val Loss = 0.12342
2026-01-12-03-06-24	Epoch 91	Train Loss = 0.09313, Val Loss = 0.12485
2026-01-12-03-08-31	Epoch 92	Train Loss = 0.09258, Val Loss = 0.12083
2026-01-12-03-10-38	Epoch 93	Train Loss = 0.09232, Val Loss = 0.12210
2026-01-12-03-12-44	Epoch 94	Train Loss = 0.09210, Val Loss = 0.12316
2026-01-12-03-14-51	Epoch 95	Train Loss = 0.09249, Val Loss = 0.12195
2026-01-12-03-16-58	Epoch 96	Train Loss = 0.09154, Val Loss = 0.12841
2026-01-12-03-19-04	Epoch 97	Train Loss = 0.09181, Val Loss = 0.12170
2026-01-12-03-21-11	Epoch 98	Train Loss = 0.09104, Val Loss = 0.12266
2026-01-12-03-23-18	Epoch 99	Train Loss = 0.09148, Val Loss = 0.12205
2026-01-12-03-25-25	Epoch 100	Train Loss = 0.09179, Val Loss = 0.12165
2026-01-12-03-27-31	Epoch 101	Train Loss = 0.09028, Val Loss = 0.12204
2026-01-12-03-29-38	Epoch 102	Train Loss = 0.09095, Val Loss = 0.12144
2026-01-12-03-31-45	Epoch 103	Train Loss = 0.09083, Val Loss = 0.12168
2026-01-12-03-33-51	Epoch 104	Train Loss = 0.09031, Val Loss = 0.12130
2026-01-12-03-35-58	Epoch 105	Train Loss = 0.09012, Val Loss = 0.12196
2026-01-12-03-38-05	Epoch 106	Train Loss = 0.08927, Val Loss = 0.12123
2026-01-12-03-40-11	Epoch 107	Train Loss = 0.08972, Val Loss = 0.12162
2026-01-12-03-42-18	Epoch 108	Train Loss = 0.08953, Val Loss = 0.12115
2026-01-12-03-44-24	Epoch 109	Train Loss = 0.09013, Val Loss = 0.12405
2026-01-12-03-46-31	Epoch 110	Train Loss = 0.09191, Val Loss = 0.12295
2026-01-12-03-48-38	Epoch 111	Train Loss = 0.08901, Val Loss = 0.12124
2026-01-12-03-50-45	Epoch 112	Train Loss = 0.08856, Val Loss = 0.12092
2026-01-12-03-52-51	Epoch 113	Train Loss = 0.08901, Val Loss = 0.12162
2026-01-12-03-54-58	Epoch 114	Train Loss = 0.08892, Val Loss = 0.12158
2026-01-12-03-57-05	Epoch 115	Train Loss = 0.08835, Val Loss = 0.12100
2026-01-12-03-59-11	Epoch 116	Train Loss = 0.08930, Val Loss = 0.12301
2026-01-12-04-01-18	Epoch 117	Train Loss = 0.08848, Val Loss = 0.12158
2026-01-12-04-03-24	Epoch 118	Train Loss = 0.08853, Val Loss = 0.12116
2026-01-12-04-05-31	Epoch 119	Train Loss = 0.08790, Val Loss = 0.12117
2026-01-12-04-07-38	Epoch 120	Train Loss = 0.08828, Val Loss = 0.12074
2026-01-12-04-09-45	Epoch 121	Train Loss = 0.08837, Val Loss = 0.12167
2026-01-12-04-11-51	Epoch 122	Train Loss = 0.08734, Val Loss = 0.11991
2026-01-12-04-13-58	Epoch 123	Train Loss = 0.08795, Val Loss = 0.12075
2026-01-12-04-16-04	Epoch 124	Train Loss = 0.08720, Val Loss = 0.12000
2026-01-12-04-18-11	Epoch 125	Train Loss = 0.08700, Val Loss = 0.12005
2026-01-12-04-20-18	Epoch 126	Train Loss = 0.08654, Val Loss = 0.12142
2026-01-12-04-22-24	Epoch 127	Train Loss = 0.08728, Val Loss = 0.12186
2026-01-12-04-24-31	Epoch 128	Train Loss = 0.08744, Val Loss = 0.12181
2026-01-12-04-26-38	Epoch 129	Train Loss = 0.08673, Val Loss = 0.12062
2026-01-12-04-28-44	Epoch 130	Train Loss = 0.08844, Val Loss = 0.12089
2026-01-12-04-30-51	Epoch 131	Train Loss = 0.08762, Val Loss = 0.12070
2026-01-12-04-32-58	Epoch 132	Train Loss = 0.08692, Val Loss = 0.12114
2026-01-12-04-35-04	Epoch 133	Train Loss = 0.08624, Val Loss = 0.12016
