{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'huber', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-04-13-29-38	Epoch 1	Train Loss = 0.16658, Val Loss = 0.04889
2026-01-04-13-31-43	Epoch 2	Train Loss = 0.02888, Val Loss = 0.04283
2026-01-04-13-33-49	Epoch 3	Train Loss = 0.02492, Val Loss = 0.04364
2026-01-04-13-35-54	Epoch 4	Train Loss = 0.02298, Val Loss = 0.04599
2026-01-04-13-37-59	Epoch 5	Train Loss = 0.02157, Val Loss = 0.03875
2026-01-04-13-40-04	Epoch 6	Train Loss = 0.02169, Val Loss = 0.04096
2026-01-04-13-42-10	Epoch 7	Train Loss = 0.02043, Val Loss = 0.03702
2026-01-04-13-44-15	Epoch 8	Train Loss = 0.01994, Val Loss = 0.03650
2026-01-04-13-46-21	Epoch 9	Train Loss = 0.01913, Val Loss = 0.03607
2026-01-04-13-48-26	Epoch 10	Train Loss = 0.01846, Val Loss = 0.03506
2026-01-04-13-50-31	Epoch 11	Train Loss = 0.01810, Val Loss = 0.03471
2026-01-04-13-52-37	Epoch 12	Train Loss = 0.01819, Val Loss = 0.03414
2026-01-04-13-54-42	Epoch 13	Train Loss = 0.01760, Val Loss = 0.03407
2026-01-04-13-56-47	Epoch 14	Train Loss = 0.01725, Val Loss = 0.03389
2026-01-04-13-58-53	Epoch 15	Train Loss = 0.01719, Val Loss = 0.03336
2026-01-04-14-00-58	Epoch 16	Train Loss = 0.01670, Val Loss = 0.03432
2026-01-04-14-03-03	Epoch 17	Train Loss = 0.01629, Val Loss = 0.03307
2026-01-04-14-05-09	Epoch 18	Train Loss = 0.01629, Val Loss = 0.03357
2026-01-04-14-07-14	Epoch 19	Train Loss = 0.01622, Val Loss = 0.03425
2026-01-04-14-09-19	Epoch 20	Train Loss = 0.01599, Val Loss = 0.03280
2026-01-04-14-11-25	Epoch 21	Train Loss = 0.01592, Val Loss = 0.03351
2026-01-04-14-13-30	Epoch 22	Train Loss = 0.01557, Val Loss = 0.03317
2026-01-04-14-15-35	Epoch 23	Train Loss = 0.01527, Val Loss = 0.03389
2026-01-04-14-17-41	Epoch 24	Train Loss = 0.01530, Val Loss = 0.03291
2026-01-04-14-19-46	Epoch 25	Train Loss = 0.01495, Val Loss = 0.03292
2026-01-04-14-21-52	Epoch 26	Train Loss = 0.01488, Val Loss = 0.03252
2026-01-04-14-23-57	Epoch 27	Train Loss = 0.01483, Val Loss = 0.03249
2026-01-04-14-26-02	Epoch 28	Train Loss = 0.01476, Val Loss = 0.03301
2026-01-04-14-28-08	Epoch 29	Train Loss = 0.01446, Val Loss = 0.03193
2026-01-04-14-30-13	Epoch 30	Train Loss = 0.01434, Val Loss = 0.03265
2026-01-04-14-32-18	Epoch 31	Train Loss = 0.01410, Val Loss = 0.03436
2026-01-04-14-34-24	Epoch 32	Train Loss = 0.01433, Val Loss = 0.03271
2026-01-04-14-36-29	Epoch 33	Train Loss = 0.01408, Val Loss = 0.03251
2026-01-04-14-38-34	Epoch 34	Train Loss = 0.01399, Val Loss = 0.03213
2026-01-04-14-40-40	Epoch 35	Train Loss = 0.01385, Val Loss = 0.03197
2026-01-04-14-42-45	Epoch 36	Train Loss = 0.01386, Val Loss = 0.03291
2026-01-04-14-44-50	Epoch 37	Train Loss = 0.01384, Val Loss = 0.03182
2026-01-04-14-46-56	Epoch 38	Train Loss = 0.01337, Val Loss = 0.03203
2026-01-04-14-49-01	Epoch 39	Train Loss = 0.01332, Val Loss = 0.03209
2026-01-04-14-51-06	Epoch 40	Train Loss = 0.01377, Val Loss = 0.03207
2026-01-04-14-53-12	Epoch 41	Train Loss = 0.01322, Val Loss = 0.03173
2026-01-04-14-55-17	Epoch 42	Train Loss = 0.01315, Val Loss = 0.03181
2026-01-04-14-57-22	Epoch 43	Train Loss = 0.01321, Val Loss = 0.03170
2026-01-04-14-59-28	Epoch 44	Train Loss = 0.01306, Val Loss = 0.03172
2026-01-04-15-01-33	Epoch 45	Train Loss = 0.01288, Val Loss = 0.03145
2026-01-04-15-03-39	Epoch 46	Train Loss = 0.01291, Val Loss = 0.03157
2026-01-04-15-05-44	Epoch 47	Train Loss = 0.01270, Val Loss = 0.03164
2026-01-04-15-07-49	Epoch 48	Train Loss = 0.01264, Val Loss = 0.03163
2026-01-04-15-09-55	Epoch 49	Train Loss = 0.01254, Val Loss = 0.03145
2026-01-04-15-12-00	Epoch 50	Train Loss = 0.01252, Val Loss = 0.03156
2026-01-04-15-14-06	Epoch 51	Train Loss = 0.01244, Val Loss = 0.03150
2026-01-04-15-16-11	Epoch 52	Train Loss = 0.01234, Val Loss = 0.03211
2026-01-04-15-18-17	Epoch 53	Train Loss = 0.01244, Val Loss = 0.03156
2026-01-04-15-20-22	Epoch 54	Train Loss = 0.01214, Val Loss = 0.03244
2026-01-04-15-22-27	Epoch 55	Train Loss = 0.01210, Val Loss = 0.03189
2026-01-04-15-24-33	Epoch 56	Train Loss = 0.01215, Val Loss = 0.03213
2026-01-04-15-26-38	Epoch 57	Train Loss = 0.01206, Val Loss = 0.03163
2026-01-04-15-28-43	Epoch 58	Train Loss = 0.01188, Val Loss = 0.03176
2026-01-04-15-30-49	Epoch 59	Train Loss = 0.01185, Val Loss = 0.03132
2026-01-04-15-32-54	Epoch 60	Train Loss = 0.01181, Val Loss = 0.03200
2026-01-04-15-34-59	Epoch 61	Train Loss = 0.01178, Val Loss = 0.03150
2026-01-04-15-37-05	Epoch 62	Train Loss = 0.01177, Val Loss = 0.03157
2026-01-04-15-39-10	Epoch 63	Train Loss = 0.01158, Val Loss = 0.03142
2026-01-04-15-41-15	Epoch 64	Train Loss = 0.01150, Val Loss = 0.03150
2026-01-04-15-43-21	Epoch 65	Train Loss = 0.01159, Val Loss = 0.03171
2026-01-04-15-45-26	Epoch 66	Train Loss = 0.01137, Val Loss = 0.03129
2026-01-04-15-47-32	Epoch 67	Train Loss = 0.01141, Val Loss = 0.03135
2026-01-04-15-49-37	Epoch 68	Train Loss = 0.01127, Val Loss = 0.03157
2026-01-04-15-51-43	Epoch 69	Train Loss = 0.01122, Val Loss = 0.03154
2026-01-04-15-53-48	Epoch 70	Train Loss = 0.01118, Val Loss = 0.03190
2026-01-04-15-55-54	Epoch 71	Train Loss = 0.01119, Val Loss = 0.03170
2026-01-04-15-57-59	Epoch 72	Train Loss = 0.01105, Val Loss = 0.03146
2026-01-04-16-00-05	Epoch 73	Train Loss = 0.01092, Val Loss = 0.03194
2026-01-04-16-02-10	Epoch 74	Train Loss = 0.01108, Val Loss = 0.03173
2026-01-04-16-04-16	Epoch 75	Train Loss = 0.01088, Val Loss = 0.03160
2026-01-04-16-06-22	Epoch 76	Train Loss = 0.01077, Val Loss = 0.03143
2026-01-04-16-08-27	Epoch 77	Train Loss = 0.01070, Val Loss = 0.03183
2026-01-04-16-10-32	Epoch 78	Train Loss = 0.01070, Val Loss = 0.03156
2026-01-04-16-12-38	Epoch 79	Train Loss = 0.01071, Val Loss = 0.03209
2026-01-04-16-14-43	Epoch 80	Train Loss = 0.01072, Val Loss = 0.03120
2026-01-04-16-16-48	Epoch 81	Train Loss = 0.01069, Val Loss = 0.03159
2026-01-04-16-18-54	Epoch 82	Train Loss = 0.01046, Val Loss = 0.03152
2026-01-04-16-20-59	Epoch 83	Train Loss = 0.01044, Val Loss = 0.03133
2026-01-04-16-23-04	Epoch 84	Train Loss = 0.01040, Val Loss = 0.03150
2026-01-04-16-25-10	Epoch 85	Train Loss = 0.01039, Val Loss = 0.03174
2026-01-04-16-27-15	Epoch 86	Train Loss = 0.01029, Val Loss = 0.03149
2026-01-04-16-29-20	Epoch 87	Train Loss = 0.01035, Val Loss = 0.03133
2026-01-04-16-31-26	Epoch 88	Train Loss = 0.01017, Val Loss = 0.03152
2026-01-04-16-33-31	Epoch 89	Train Loss = 0.01023, Val Loss = 0.03202
2026-01-04-16-35-37	Epoch 90	Train Loss = 0.01017, Val Loss = 0.03166
2026-01-04-16-37-42	Epoch 91	Train Loss = 0.01008, Val Loss = 0.03163
