{'gpu': {'device_ids': [2], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-14-10-44-38	Epoch 1	Train Loss = 1.15880, Val Loss = 0.14862
2026-01-14-10-46-36	Epoch 2	Train Loss = 0.60631, Val Loss = 0.14639
2026-01-14-10-48-34	Epoch 3	Train Loss = 0.60091, Val Loss = 0.14527
2026-01-14-10-50-32	Epoch 4	Train Loss = 0.59858, Val Loss = 0.14549
2026-01-14-10-52-30	Epoch 5	Train Loss = 0.59509, Val Loss = 0.14475
2026-01-14-10-54-28	Epoch 6	Train Loss = 0.59313, Val Loss = 0.14446
2026-01-14-10-56-26	Epoch 7	Train Loss = 0.59083, Val Loss = 0.14403
2026-01-14-10-58-24	Epoch 8	Train Loss = 0.58909, Val Loss = 0.14410
2026-01-14-11-00-22	Epoch 9	Train Loss = 0.58788, Val Loss = 0.14382
2026-01-14-11-02-20	Epoch 10	Train Loss = 0.58676, Val Loss = 0.14362
2026-01-14-11-04-18	Epoch 11	Train Loss = 0.58546, Val Loss = 0.14344
2026-01-14-11-06-16	Epoch 12	Train Loss = 0.58436, Val Loss = 0.14299
2026-01-14-11-08-14	Epoch 13	Train Loss = 0.58275, Val Loss = 0.14278
2026-01-14-11-10-12	Epoch 14	Train Loss = 0.58136, Val Loss = 0.14341
2026-01-14-11-12-10	Epoch 15	Train Loss = 0.58156, Val Loss = 0.14314
2026-01-14-11-14-08	Epoch 16	Train Loss = 0.58045, Val Loss = 0.14249
2026-01-14-11-16-06	Epoch 17	Train Loss = 0.57965, Val Loss = 0.14211
2026-01-14-11-18-04	Epoch 18	Train Loss = 0.57878, Val Loss = 0.14184
2026-01-14-11-20-02	Epoch 19	Train Loss = 0.57877, Val Loss = 0.14302
2026-01-14-11-22-00	Epoch 20	Train Loss = 0.57769, Val Loss = 0.14145
2026-01-14-11-23-58	Epoch 21	Train Loss = 0.57689, Val Loss = 0.14136
2026-01-14-11-25-55	Epoch 22	Train Loss = 0.57461, Val Loss = 0.14005
2026-01-14-11-27-53	Epoch 23	Train Loss = 0.56023, Val Loss = 0.13532
2026-01-14-11-29-51	Epoch 24	Train Loss = 0.54078, Val Loss = 0.12859
2026-01-14-11-31-48	Epoch 25	Train Loss = 0.53462, Val Loss = 0.12864
2026-01-14-11-33-46	Epoch 26	Train Loss = 0.53158, Val Loss = 0.12639
2026-01-14-11-35-44	Epoch 27	Train Loss = 0.53123, Val Loss = 0.12656
2026-01-14-11-37-42	Epoch 28	Train Loss = 0.52841, Val Loss = 0.12531
2026-01-14-11-39-39	Epoch 29	Train Loss = 0.52576, Val Loss = 0.12828
2026-01-14-11-41-37	Epoch 30	Train Loss = 0.52590, Val Loss = 0.12465
2026-01-14-11-43-35	Epoch 31	Train Loss = 0.52425, Val Loss = 0.12455
2026-01-14-11-45-32	Epoch 32	Train Loss = 0.52414, Val Loss = 0.12457
2026-01-14-11-47-30	Epoch 33	Train Loss = 0.52203, Val Loss = 0.12421
2026-01-14-11-49-27	Epoch 34	Train Loss = 0.52183, Val Loss = 0.12368
2026-01-14-11-51-25	Epoch 35	Train Loss = 0.52067, Val Loss = 0.12407
2026-01-14-11-53-23	Epoch 36	Train Loss = 0.51890, Val Loss = 0.12349
2026-01-14-11-55-20	Epoch 37	Train Loss = 0.51851, Val Loss = 0.12300
2026-01-14-11-57-18	Epoch 38	Train Loss = 0.51732, Val Loss = 0.12260
2026-01-14-11-59-16	Epoch 39	Train Loss = 0.51763, Val Loss = 0.12430
2026-01-14-12-01-13	Epoch 40	Train Loss = 0.51856, Val Loss = 0.12206
2026-01-14-12-03-11	Epoch 41	Train Loss = 0.55339, Val Loss = 0.14022
2026-01-14-12-05-09	Epoch 42	Train Loss = 0.53529, Val Loss = 0.13445
2026-01-14-12-07-06	Epoch 43	Train Loss = 0.53047, Val Loss = 0.13363
2026-01-14-12-09-04	Epoch 44	Train Loss = 0.53036, Val Loss = 0.13194
2026-01-14-12-11-01	Epoch 45	Train Loss = 0.52686, Val Loss = 0.13098
2026-01-14-12-12-59	Epoch 46	Train Loss = 0.52610, Val Loss = 0.13087
2026-01-14-12-14-56	Epoch 47	Train Loss = 0.52477, Val Loss = 0.13355
2026-01-14-12-16-54	Epoch 48	Train Loss = 0.53261, Val Loss = 0.13308
2026-01-14-12-18-52	Epoch 49	Train Loss = 0.52573, Val Loss = 0.13135
2026-01-14-12-20-49	Epoch 50	Train Loss = 0.52360, Val Loss = 0.12969
2026-01-14-12-22-47	Epoch 51	Train Loss = 0.52244, Val Loss = 0.13003
2026-01-14-12-24-44	Epoch 52	Train Loss = 0.52121, Val Loss = 0.12863
2026-01-14-12-26-42	Epoch 53	Train Loss = 0.52009, Val Loss = 0.12905
2026-01-14-12-28-39	Epoch 54	Train Loss = 0.51935, Val Loss = 0.12832
2026-01-14-12-30-37	Epoch 55	Train Loss = 0.51984, Val Loss = 0.12743
2026-01-14-12-32-34	Epoch 56	Train Loss = 0.51745, Val Loss = 0.12727
