{'gpu': {'device_ids': [1], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-13-11-13-27	Epoch 1	Train Loss = 0.16715, Val Loss = 0.14608
2026-01-13-11-15-35	Epoch 2	Train Loss = 0.12740, Val Loss = 0.14622
2026-01-13-11-17-42	Epoch 3	Train Loss = 0.12699, Val Loss = 0.14458
2026-01-13-11-19-50	Epoch 4	Train Loss = 0.12555, Val Loss = 0.15313
2026-01-13-11-21-57	Epoch 5	Train Loss = 0.12561, Val Loss = 0.14322
2026-01-13-11-24-05	Epoch 6	Train Loss = 0.12411, Val Loss = 0.14451
2026-01-13-11-26-13	Epoch 7	Train Loss = 0.12255, Val Loss = 0.14063
2026-01-13-11-28-20	Epoch 8	Train Loss = 0.11882, Val Loss = 0.13275
2026-01-13-11-30-28	Epoch 9	Train Loss = 0.11032, Val Loss = 0.12855
2026-01-13-11-32-35	Epoch 10	Train Loss = 0.10761, Val Loss = 0.12713
2026-01-13-11-34-43	Epoch 11	Train Loss = 0.10470, Val Loss = 0.12431
2026-01-13-11-36-50	Epoch 12	Train Loss = 0.10570, Val Loss = 0.12712
2026-01-13-11-38-58	Epoch 13	Train Loss = 0.10509, Val Loss = 0.12461
2026-01-13-11-41-05	Epoch 14	Train Loss = 0.10525, Val Loss = 0.12537
2026-01-13-11-43-13	Epoch 15	Train Loss = 0.10734, Val Loss = 0.13062
2026-01-13-11-45-20	Epoch 16	Train Loss = 0.10610, Val Loss = 0.12699
2026-01-13-11-47-28	Epoch 17	Train Loss = 0.10908, Val Loss = 0.12764
2026-01-13-11-49-35	Epoch 18	Train Loss = 0.10649, Val Loss = 0.12757
2026-01-13-11-51-42	Epoch 19	Train Loss = 0.10390, Val Loss = 0.12426
2026-01-13-11-53-50	Epoch 20	Train Loss = 0.10394, Val Loss = 0.12491
2026-01-13-11-55-57	Epoch 21	Train Loss = 0.10254, Val Loss = 0.12638
2026-01-13-11-58-05	Epoch 22	Train Loss = 0.10146, Val Loss = 0.12151
2026-01-13-12-00-12	Epoch 23	Train Loss = 0.10049, Val Loss = 0.12356
2026-01-13-12-02-20	Epoch 24	Train Loss = 0.10119, Val Loss = 0.12047
